着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,3,3,ノボリディアーナ,牝3,54,幸英明,1:34.0,,22.9,6,456(0),[西] 松永昌博
2,1,1,トーセンパワフル,牡3,56,Ｍ．デム,1:34.1,1/2,2.8,1,506(0),[西] 角居勝彦
3,7,10,ダイナミックガイ,牡3,56,国分優作,1:34.3,1.1/4,6.9,4,478(0),[西] 目野哲也
4,2,2,レッドジゼル,牝3,54,四位洋文,1:34.3,ハナ,3.7,2,444(-4),[西] 笹田和秀
5,7,9,トップエトワール,牡3,56,和田竜二,1:34.4,1/2,42.3,8,498(+6),[西] 岩元市三
6,4,4,ショウナンアンカー,牡3,56,岩田康誠,1:34.5,3/4,81.7,9,460(+2),[西] 北出成人
7,6,7,タガノラルフ,牡3,56,川田将雅,1:34.6,3/4,7.9,5,482(0),[西] 松田博資
8,5,6,プリフォンテイン,牡3,56,秋山真一,1:34.8,1.1/2,83.9,10,496(-2),[西] 松永幹夫
9,8,12,ダノンレジェンド,牡3,56,浜中俊,1:35.1,1.3/4,4.7,3,450(-6),[西] 村山明
10,8,11,シゲルオオカミザ,牡3,56,国分恭介,1:35.1,ハナ,139.8,11,450(+4),[西] 服部利之
11,5,5,クラウンビション,牝3,54,松田大作,1:35.3,1.1/4,388.8,12,450(0),[西] 日吉正和
12,6,8,ビリオネア,牝3,54,太宰啓介,1:35.4,1/2,25.0,7,420(-12),[西] 藤岡範士
