着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,4,4,ウインマリリン,牝3,54,横山武史,2:02.5,,6.4,4,460(+8),[東] 手塚貴久
2,5,5,ウインキートス,牝3,54,津村明秀,2:02.8,1.3/4,6.2,3,448(+6),[東] 宗像義忠
3,7,8,テルツェット,牝3,54,柴山雄一,2:02.9,3/4,5.0,2,416(-6),[東] 和田正一
4,3,3,ラフダイヤモンド,牝3,54,鮫島克駿,2:03.2,2,34.4,9,446(0),[西] 高橋康之
5,6,6,アンサンブル,牝3,54,石川裕紀,2:03.3,クビ,2.3,1,468(+2),[西] 杉山晴紀
6,6,7,ドゥラモット,牝3,54,藤岡康太,2:04.0,4,19.3,7,464(-8),[西] 安田隆行
7,8,10,アマゾーヌ,牝3,54,内田博幸,2:04.1,3/4,30.7,8,464(0),[東] 斎藤誠
8,8,11,ダイワクンナナ,牝3,54,柴田善臣,2:04.2,クビ,13.7,6,482(-4),[東] 国枝栄
9,1,1,ミュアウッズ,牝3,54,石橋脩,2:04.9,4,11.0,5,590(+4),[東] 尾関知人
10,2,2,コスモギンガ,牝3,54,丹内祐次,2:05.2,2,77.0,11,450(0),[東] 高橋祥泰
11,7,9,アテナノワール,牝3,54,北村宏司,2:05.5,2,37.9,10,476(-8),[東] 久保田貴
