着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,4,8,セルフィー,牝5,52,松若風馬,1:07.7,,9.5,5,476(+6),[西] 鮫島一歩
2,5,10,クリノマジン,牡3,54,小沢大仁,1:07.9,1.1/2,3.3,1,446(0),[西] 高橋義忠
3,6,12,ショウナンアリアナ,牝6,52,西村淳也,1:08.0,1/2,47.2,13,444(+6),[西] 高野友和
4,7,13,タツリュウオー,牝4,52,山田敬士,1:08.1,クビ,20.5,9,452(-14),[西] 加用正
5,2,3,ビアイ,牝5,53,川須栄彦,1:08.2,1/2,8.3,4,506(+2),[西] 畑端省吾
6,3,5,フォイアーロート,牡4,54,坂井瑠星,1:08.3,3/4,16.7,7,470(+2),[西] 中村直也
7,8,16,ロジーナ,牝5,54,団野大成,1:08.3,クビ,19.8,8,472(0),[西] 佐々木晶
8,5,9,オルダージュ,セ6,54,藤懸貴志,1:08.4,クビ,48.3,14,476(+4),[東] 青木孝文
9,1,1,グランレイ,牡5,56,松山弘平,1:08.4,クビ,6.8,2,466(0),[西] 池添学
10,3,6,エレヴァート,牝5,52,角田大河,1:08.4,クビ,38.2,11,458(+2),[西] 角田晃一
11,7,14,ルクルト,牡5,54,富田暁,1:08.4,ハナ,7.1,3,460(-2),[西] 吉村圭司
12,1,2,グッドマックス,牝5,53,森裕太朗,1:08.6,1,24.7,10,472(+8),[西] 小林真也
13,8,17,メメントモリ,牝5,52,和田竜二,1:08.7,1/2,40.5,12,462(-6),[西] 浜田多実
14,4,7,メイショウハナモリ,牡6,53,荻野極,1:08.7,クビ,108.1,18,520(+2),[西] 本田優
15,2,4,クリノアリエル,牝7,52,酒井学,1:08.7,ハナ,57.5,16,420(-4),[西] 武英智
16,8,18,ダノンシティ,牡6,56,北村友一,1:08.8,アタマ,11.8,6,478(-4),[西] 橋口慎介
17,7,15,アールラプチャー,牝4,53,竹之下智,1:09.9,7,51.4,15,444(-10),[西] 千田輝彦
18,6,11,シホノレジーナ,牝5,52,今村聖奈,1:10.2,1.1/2,62.0,17,498(0),[西] 寺島良
