着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,3,6,クイーンズテソーロ,牝3,54,木幡巧也,1:10.2,,6.5,3,462(+4),[東] 畠山吉宏
2,5,9,スマートレイチェル,牝4,55,酒井学,1:10.3,3/4,4.2,2,486(0),[西] 西園正都
3,1,1,ビービーサレンダー,牡5,57,田辺裕信,1:10.6,1.3/4,14.1,6,502(+4),[東] 久保田貴
4,2,4,ヴォーガ,牡4,57,戸崎圭太,1:10.7,3/4,11.6,5,454(+4),[西] 森秀行
5,3,5,ライジングリーズン,牝4,55,大野拓弥,1:10.9,3/4,37.0,10,490(+2),[東] 奥村武
6,1,2,モアニケアラ,牝6,55,横山典弘,1:10.9,クビ,23.5,9,466(-6),[西] 松永幹夫
7,5,10,オーヴァーライト,牡3,56,内田博幸,1:11.0,クビ,2.8,1,504(+4),[東] 手塚貴久
8,7,14,サーティグランド,セ6,57,水口優也,1:11.2,1.1/4,22.7,8,506(+2),[西] 田所秀孝
9,6,11,コンテナ,牡6,57,柴田善臣,1:11.2,アタマ,110.2,12,600(-14),[西] 牧浦充徳
10,7,13,ラバニーユ,牝6,55,蛯名正義,1:11.3,1/2,248.7,14,440(-4),[西] 森田直行
11,4,8,ワイドリーザワン,牡6,57,石川裕紀,1:11.4,3/4,60.0,11,462(+8),[東] 奥村武
12,8,15,メイショウツレヅレ,牝9,55,岩田康誠,1:11.5,1/2,18.4,7,462(0),[西] 笹田和秀
13,4,7,ローゼンタール,牝5,55,古川吉洋,1:11.6,3/4,311.5,15,502(-6),[西] 森田直行
14,8,16,スリラーインマニラ,セ5,57,丹内祐次,1:11.7,クビ,112.4,13,448(+4),[東] 武井亮
15,6,12,アレット,セ7,57,ビュイッ,1:12.4,4,7.1,4,514(-18),[西] 岡田稲男
16,2,3,ウエスタンラムール,牡6,57,的場勇人,1:12.7,2,412.2,16,472(+10),[東] 的場均
