着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,2,3,ケイアイテディ,牡3,56,北村宏司,1:13.2,,1.7,1,450(-2),[東] 池上昌和
1,7,13,クリノロマン,牝3,54,西田雄一,1:13.2,同着,11.6,4,454(-4),[東] 天間昭一
3,5,9,オメガクオリティー,牡3,56,浜中俊,1:13.4,1.1/4,9.1,3,482(-4),[東] 戸田博文
4,6,12,ナムラファラー,牡3,56,丸山元気,1:13.6,1.1/2,26.3,8,468(0),[東] 谷原義明
5,8,15,カポラヴォーロ,牡3,56,内田博幸,1:13.8,1,4.6,2,492(-6),[東] 和田正一
6,7,14,エルフィ,牝3,54,田中勝春,1:14.5,4,22.7,7,436(0),[東] 宗像義忠
7,1,1,サウストラベラー,牡3,56,松岡正海,1:14.7,1.1/4,46.1,9,470(0),[東] 伊藤伸一
8,5,10,サムシングクール,牝3,51,木幡育也,1:14.9,1.1/4,16.4,6,418(-10),[東] 中川公成
9,1,2,シラハタヤマ,牡3,53,菊沢一樹,1:15.0,クビ,73.9,10,464(-6),[東] 菊沢隆徳
10,3,5,カンタルベルン,牡3,56,二本柳壮,1:15.2,1.1/4,155.0,12,454(0),[東] 杉浦宏昭
11,4,8,セントオブウーマン,牝3,52,武藤雅,1:15.8,3.1/2,142.6,11,404(-6),[東] 水野貴広
12,2,4,ライクアスター,牝3,54,岩部純二,1:16.5,4,357.8,14,436(-4),[東] 伊藤正徳
13,4,7,サンセイラム,セ3,56,嶋田純次,1:16.7,1.1/4,458.4,16,424(-18),[東] 高橋文雅
14,3,6,ニットウサーメット,牝3,54,ミナリク,1:16.8,1/2,15.2,5,474(0),[東] 高橋文雅
15,6,11,プティットファム,牝3,51,野中悠太,1:17.1,2,422.1,15,388(-4),[東] 武井亮
16,8,16,デルマアワモリ,牡3,56,武士沢友,1:18.4,8,187.3,13,444(0),[東] 古賀史生
