着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,3,6,トモジャポルックス,牡5,57,藤岡佑介,1:11.8,,13.0,4,484(+2),[東] 鈴木伸尋
2,5,9,トウショウデュエル,牡6,57,大野拓弥,1:12.0,1.1/4,2.0,1,528(0),[東] 杉浦宏昭
3,4,7,シャンパンサーベル,牝6,55,吉田隼人,1:12.1,1/2,4.5,2,490(+8),[東] 佐藤吉勝
4,4,8,カワキタピリカ,牡5,57,江田照男,1:12.1,クビ,25.2,10,504(-4),[東] 武市康男
5,7,14,スフェーン,牡5,57,丸山元気,1:12.1,アタマ,20.1,7,466(+14),[東] 小西一男
6,1,2,ユアザスター,牡5,57,戸崎圭太,1:12.3,1,13.5,5,510(-2),[東] 伊藤圭三
7,6,11,タイセイラビッシュ,牡6,57,松岡正海,1:12.3,クビ,21.5,8,492(-4),[東] 青木孝文
8,6,12,アンジェリー,牝6,55,柴田善臣,1:12.5,1.1/4,77.7,12,470(0),[東] 宗像義忠
9,1,1,カキツバタチグサ,セ5,57,西田雄一,1:12.6,クビ,15.2,6,514(0),[東] 岩戸孝樹
10,5,10,カネトシユキミ,牝4,53,武藤雅,1:12.8,1.1/4,180.6,13,396(+4),[東] 水野貴広
11,8,16,スマートサクソン,牝4,55,田辺裕信,1:12.8,ハナ,22.7,9,466(-12),[東] 古賀史生
12,7,13,ロッジポールパイン,牡5,57,三浦皇成,1:13.3,3,10.5,3,522(0),[東] 金成貴史
13,2,4,スズカオーショウ,牡7,54,菊沢一樹,1:13.4,クビ,32.4,11,516(-2),[東] 柄崎孝
14,3,5,マイネルヘミニス,牡4,57,柴田大知,1:13.6,1.1/4,217.5,15,464(-6),[東] 高橋祥泰
15,8,15,インフルエンサー,牡4,57,宮崎北斗,1:13.7,1/2,184.9,14,444(-4),[東] 谷原義明
16,2,3,パイオニアワーク,牡4,57,嘉藤貴行,1:14.5,5,299.3,16,486(-7),[東] 高橋義博
