着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,8,10,レイエスプランドル,牡3,56,石橋脩,2:13.8,,7.6,6,496(+12),[西] 吉田直弘
2,7,9,ダブルフラット,牡3,56,戸崎圭太,2:13.8,ハナ,4.4,1,492(-2),[西] 角居勝彦
3,5,5,ジェシー,牡3,56,荻野極,2:14.1,1.3/4,5.7,3,476(+2),[西] 中内田充
4,6,7,マイネルキラメキ,牡3,56,柴田大知,2:14.5,2.1/2,21.6,8,432(+2),[東] 和田雄二
5,4,4,アイスバブル,牡3,56,藤岡康太,2:14.6,クビ,9.6,7,438(0),[西] 池江泰寿
6,6,6,ロジティナ,牡3,56,池添謙一,2:14.7,1/2,7.1,5,524(0),[東] 新開幸一
7,2,2,ロードジパング,牡3,56,三浦皇成,2:14.9,1.1/4,38.8,11,448(0),[東] 菊川正達
8,8,11,ダイワギャバン,牡3,56,田辺裕信,2:14.9,クビ,6.4,4,468(-8),[東] 菊沢隆徳
9,7,8,ギャラッド,牡3,56,内田博幸,2:15.6,4,29.6,9,476(+2),[東] 田村康仁
10,1,1,サトノテラス,牡3,56,北村宏司,2:15.8,1.1/4,31.9,10,534(+12),[東] 藤沢和雄
11,3,3,ダークナイトムーン,牡3,56,大野拓弥,2:17.3,9,5.4,2,470(-2),[東] 尾関知人
