着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,8,10,セントウル,牡2,54,戸崎圭太,2:02.7,,4.1,3,476(+12),[西] 森秀行
2,4,4,サンルイス,牡2,54,石橋脩,2:02.7,アタマ,90.6,8,530(0),[東] 上原博之
3,2,2,トゥーフラッシー,牝2,54,津村明秀,2:02.8,1/2,12.6,5,456(+2),[東] 高市圭二
4,1,1,ゲインスプレマシー,牡2,54,ルメール,2:02.8,アタマ,3.0,1,486(0),[東] 高柳瑞樹
5,7,9,ポイントオブオナー,牡2,54,石川裕紀,2:03.4,3.1/2,3.2,2,460(+6),[東] 田中剛
6,3,3,アメリオラシオン,牝2,54,三浦皇成,2:03.7,2,38.4,7,466(0),[東] 鹿戸雄一
7,8,11,ブラックアンバー,牡2,53,武藤雅,2:03.8,クビ,8.6,4,486(-2),[東] 武藤善則
8,5,5,シックガニアン,牡2,54,柴田大知,2:03.8,クビ,12.8,6,460(+10),[東] 黒岩陽一
9,7,8,グローリースター,牝2,51,山田敬士,2:04.7,5,310.9,10,414(+2),[東] 高橋義博
10,6,6,レトルダムール,牡2,51,木幡育也,2:05.0,1.3/4,335.6,11,442(-10),[東] 佐藤吉勝
11,6,7,チャンピオンピース,牡2,53,木幡巧也,2:05.7,4,282.8,9,426(-8),[東] 和田雄二
