着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,8,15,ドライヴナイト,牡3,56,北村友一,1:25.5,,3.5,1,504(+2),[西] 奥村豊
2,3,5,ゼンノサーベイヤー,牡3,56,松田大作,1:25.5,ハナ,5.1,3,502(+2),[西] 中内田充
3,4,7,コウエイエンブレム,牡3,56,松山弘平,1:25.7,1,10.6,6,516(+6),[西] 山内研二
4,1,1,ノーモアゲーム,牡3,56,丸山元気,1:25.9,1.1/4,97.1,12,470(+8),[東] 浅野洋一
5,4,8,ロンドンタウン,牡3,56,松若風馬,1:26.1,1.1/2,14.9,7,508(-2),[西] 牧田和弥
6,2,3,メイショウミラコロ,牡3,56,幸英明,1:26.6,3,23.6,9,508(-4),[西] 松永昌博
7,6,12,アドマイヤムテキ,牡3,56,和田竜二,1:26.7,1/2,18.5,8,482(-4),[西] 中尾秀正
8,6,11,デピュティプライム,牡3,56,勝浦正樹,1:26.7,ハナ,4.5,2,478(+10),[東] 小島茂之
9,5,10,マザックヤース,牝3,54,伴啓太,1:27.0,2,86.1,11,432(+2),[東] 高柳瑞樹
10,8,16,ラスベガスシチー,牡3,56,吉田隼人,1:27.4,2.1/2,8.0,4,516(+4),[東] 田中清隆
11,2,4,ヨウチエンコース,牡3,56,ヴェロン,1:27.7,2,30.9,10,460(0),[西] 小崎憲
12,7,14,シゲルナガイワシ,牡3,56,酒井学,1:27.9,1.1/2,177.1,13,452(-4),[東] 小野次郎
13,1,2,プリンシパルスター,牡3,56,中谷雄太,1:28.5,3.1/2,9.4,5,438(-4),[西] 矢作芳人
14,3,6,レディエントブルー,牝3,54,横山和生,1:28.8,1.3/4,215.3,15,458(+2),[東] 尾形和幸
15,5,9,フィランソロフィー,牡3,56,黛弘人,1:29.3,3,207.1,14,452(-2),[東] 中川公成
16,7,13,エムティーシャトル,牝3,54,伊藤工真,1:29.5,3/4,320.0,16,486(0),[東] 清水英克
