着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,5,8,アマゾーヌ,牝2,54,大野拓弥,2:00.1,,14.6,4,464(0),[東] 斎藤誠
2,7,13,アンティシペイト,牡2,54,戸崎圭太,2:00.5,2.1/2,5.4,2,486(+6),[東] 国枝栄
3,4,6,ブリジャール,牡2,54,Ｍ．デム,2:01.0,3,1.7,1,494(0),[東] 加藤征弘
4,2,2,ウインランウェイ,牡2,54,内田博幸,2:01.0,クビ,46.8,9,424(-4),[東] 金成貴史
5,2,3,アピテソーロ,牡2,53,横山武史,2:01.1,クビ,19.3,6,484(-2),[東] 奥平雅士
6,1,1,リトルマンマミーア,牝2,51,藤田菜七,2:01.1,ハナ,18.4,5,452(+10),[東] 鹿戸雄一
7,6,10,ナスノフォルテ,牝2,54,三浦皇成,2:01.3,1.1/4,8.2,3,466(-6),[東] 武井亮
8,5,9,バトーブラン,牝2,54,木幡巧也,2:01.4,1/2,225.6,13,428(+2),[東] 清水英克
9,4,7,コスモギンガ,牝2,54,柴田大知,2:01.6,1.1/4,220.5,12,454(+4),[東] 高橋祥泰
10,7,12,スキルショット,牡2,54,丸田恭介,2:02.6,6,176.8,11,474(0),[東] 加藤士津
11,8,14,コスモフラッター,牡2,54,丹内祐次,2:02.9,1.3/4,483.4,14,476(-2),[東] 金成貴史
12,6,11,フィジーマジック,牡2,54,津村明秀,2:03.1,1.1/2,565.2,15,434(+4),[東] 加藤和宏
13,3,5,サクラジマテソーロ,牡2,51,菅原明良,2:03.6,3,36.4,8,444(-2),[東] 田中博康
14,3,4,アッカレッツァーレ,牡2,53,野中悠太,2:03.6,クビ,82.1,10,474(+2),[東] 黒岩陽一
中,8,15,アベルゴー,牡2,54,北村宏司,,,23.9,7,494(0),[東] 畠山吉宏
