着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,7,7,ダノングレース,牝4,54,三浦皇成,1:49.5,,4.5,3,432(+4),[東] 国枝栄
2,2,2,アヴィオール,牝4,54,ルメール,1:49.7,1.1/4,2.9,1,456(+10),[東] 堀宣行
3,6,6,レッドベルローズ,牝4,54,マーフィ,1:49.7,ハナ,3.6,2,468(+12),[東] 鹿戸雄一
4,8,10,ヴェロニカグレース,牝4,54,津村明秀,1:49.7,クビ,7.1,4,488(-2),[東] 武市康男
5,3,3,ロフティフレーズ,牝4,54,田辺裕信,1:49.9,1.1/4,7.5,5,458(+8),[東] 上原博之
6,8,9,カレンシリエージョ,牝4,54,内田博幸,1:50.0,3/4,11.6,6,484(+2),[西] 鈴木孝志
7,4,4,フロムマイハート,牝6,55,柴田大知,1:50.4,2.1/2,41.0,7,444(-4),[東] 水野貴広
8,7,8,カレン,牝5,55,江田照男,1:50.5,クビ,151.4,10,490(+4),[東] 伊藤正徳
9,5,5,ユメノマイホーム,牝7,55,杉原誠人,1:50.8,2,109.4,9,470(+2),[東] 伊藤伸一
10,1,1,デュッセルドルフ,牝4,54,石川裕紀,1:50.9,3/4,66.6,8,472(0),[東] 木村哲也
