着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,7,13,レイデマー,牡4,54,山田敬士,1:11.3,,51.0,10,498(0),[東] 小桧山悟
2,8,15,ゴールドクロス,牡4,57,丸山元気,1:11.6,1.3/4,3.6,1,486(+4),[東] 小西一男
3,6,11,サトノユニゾン,セ4,57,松山弘平,1:11.8,1.1/4,6.8,4,496(0),[東] 古賀慎明
4,5,9,オレノマニラ,牡4,57,柴田善臣,1:11.8,アタマ,81.2,12,436(-6),[東] 土田稔
5,2,2,ヤマニンリュシオル,牝4,55,伊藤工真,1:11.9,1/2,154.6,14,472(-10),[東] 蛯名利弘
6,5,8,アシャカデッシュ,牡4,57,津村明秀,1:12.0,3/4,5.2,3,510(-6),[東] 鈴木伸尋
7,2,3,オールデン,牡5,57,戸崎圭太,1:12.1,3/4,8.4,6,454(-2),[東] 小西一男
8,4,6,トウショウデュエル,牡7,54,菅原明良,1:12.3,1,47.0,9,536(+6),[東] 杉浦宏昭
9,6,10,レノカズマ,牡4,57,石川裕紀,1:12.5,1.1/4,133.7,13,490(+20),[東] 稲垣幸雄
10,3,4,シルバーストーン,牡5,57,三浦皇成,1:12.5,ハナ,4.3,2,508(0),[東] 石栗龍彦
11,3,5,ウエスタンボルト,セ6,57,田中勝春,1:12.8,1.3/4,52.6,11,478(-2),[東] 小野次郎
12,1,1,タイセイラビッシュ,牡7,57,黛弘人,1:13.0,1,33.7,8,492(+4),[東] 青木孝文
13,7,12,ヌンジュリエット,牝5,55,勝浦正樹,1:13.0,クビ,173.7,15,488(+2),[東] 清水英克
14,4,7,ナリノメジャー,牝5,55,ミナリク,1:13.1,1/2,7.4,5,494(+6),[東] 上原博之
15,8,14,サノノタテヤマ,牡4,57,大野拓弥,1:13.3,1.1/2,24.6,7,478(+22),[東] 中舘英二
