着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,8,15,ヘッドオブステート,牡3,56,田辺裕信,1:56.9,,19.5,7,486(0),[東] 大竹正博
2,4,8,ノワールムーティエ,牡3,56,ルメール,1:58.0,7,2.8,1,514(0),[東] 林徹
3,5,9,サクラルーフェン,牡3,56,石橋脩,1:58.4,2.1/2,10.5,4,442(0),[東] 尾関知人
4,6,12,モントカイザー,セ3,56,丹内祐次,1:59.5,7,13.6,5,464(0),[東] 尾形和幸
5,6,11,インオンザレイク,牝3,54,村田一誠,1:59.5,クビ,49.0,9,460(0),[東] 中舘英二
6,1,2,アイヅリュウコ,牡3,56,杉原誠人,1:59.6,1/2,345.7,16,476(0),[東] 小笠倫弘
7,3,6,ホワイトストーム,牡3,56,菅原隆一,1:59.9,1.3/4,64.4,10,472(0),[東] 小野次郎
8,2,3,メイショウフェイト,牡3,56,内田博幸,2:00.1,1.1/2,18.3,6,468(0),[西] 牧浦充徳
9,7,13,デルマノートルダム,牡3,56,蛯名正義,2:00.8,4,45.3,8,444(0),[東] 田中清隆
10,1,1,ブーケオブジュエル,牝3,54,マーフィ,2:01.5,4,5.1,3,494(0),[東] 国枝栄
11,4,7,ボンマリアージュ,牝3,51,野中悠太,2:02.0,3,69.2,12,460(0),[東] 池上昌和
12,5,10,ソルダートダズル,牡3,56,三浦皇成,2:02.0,クビ,68.7,11,490(0),[東] 田村康仁
13,8,16,コズミックレイズ,牝3,54,田中勝春,2:03.3,8,95.6,13,468(0),[東] 黒岩陽一
14,7,14,ユイノオールマイト,牡3,56,大野拓弥,2:05.4,大,3.1,2,492(0),[東] 尾関知人
15,3,5,クリプトカレンシー,牝3,54,宮崎北斗,2:05.7,2,246.3,14,450(0),[東] 林徹
16,2,4,テイエムラビット,牡3,56,嶋田純次,2:07.9,大,279.9,15,468(0),[東] 加藤和宏
