着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,5,9,サトノフォース,牡3,56,Ｍ．デム,1:47.4,,3.7,2,444(-8),[東] 藤沢和雄
2,6,11,ライル,牡3,56,石橋脩,1:47.9,3,2.5,1,498(0),[東] 手塚貴久
3,3,6,ナミブ,牡3,56,杉原誠人,1:48.2,2,31.4,7,446(-4),[東] 南田美知
4,5,10,ココリアッピア,牝3,54,北村宏司,1:48.3,クビ,138.4,12,436(-4),[東] 古賀慎明
5,1,2,ブラッドストーン,牡3,53,木幡育也,1:48.3,クビ,10.4,5,472(+2),[東] 小島茂之
6,6,12,ディヴァイン,牡3,56,田辺裕信,1:48.4,1/2,7.7,4,500(-12),[東] 小西一男
7,8,15,イフユーワナ,牡3,56,大野拓弥,1:48.4,アタマ,34.0,8,490(+10),[東] 田村康仁
8,4,7,ホウオウビクトリー,牡3,56,ミナリク,1:49.0,3.1/2,4.8,3,464(-4),[東] 斎藤誠
9,2,4,アッチャイオ,牡3,56,石川裕紀,1:49.0,ハナ,99.5,9,438(+6),[東] 手塚貴久
10,8,16,ウインメテオーラ,セ3,56,伊藤工真,1:49.1,1/2,101.5,10,436(-10),[東] 金成貴史
11,7,14,マイネルカピターノ,牡3,56,宮崎北斗,1:49.3,1.1/2,353.8,15,486(-6),[東] 高橋祥泰
12,1,1,マジカルリボン,牝3,52,菊沢一樹,1:49.4,1/2,106.6,11,414(-2),[東] 的場均
13,2,3,アーカート,牡3,56,田中勝春,1:50.1,4,228.8,13,450(-10),[東] 宗像義忠
14,7,13,ブリリアンティーン,牝3,53,木幡巧也,1:50.4,1.3/4,411.1,16,440(-12),[東] 杉浦宏昭
15,3,5,サンメドフォード,牝3,54,武士沢友,1:50.8,2.1/2,352.5,14,472(+2),[東] 粕谷昌央
16,4,8,ワイルドタッチ,牝3,54,内田博幸,1:51.0,1.1/4,21.2,6,446(+12),[東] 黒岩陽一
