着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,3,3,ハンディーズピーク,牡3,56,幸英明,1:54.2,,2.7,1,504(+6),[西] 大久保龍
2,6,9,タイキドミニオン,牡3,56,北村友一,1:54.5,2,9.9,4,510(+6),[西] 高野友和
3,6,8,アスクスタイルマン,牡3,56,坂井瑠星,1:55.1,4,31.8,10,454(0),[西] 矢作芳人
4,1,1,ウェルドーン,牝3,54,川田将雅,1:55.4,2,12.7,5,488(-6),[西] 角田晃一
5,5,6,プルモナリア,牝3,54,藤岡佑介,1:55.8,2.1/2,37.3,12,456(-2),[西] 中竹和也
6,5,7,タガノチュール,牡3,56,太宰啓介,1:55.8,ハナ,52.1,13,476(+8),[西] 西園正都
7,4,4,テイエムベンチャー,牡3,56,国分恭介,1:55.9,クビ,35.7,11,496(-4),[西] 五十嵐忠
8,8,13,イナズマテーラー,牡3,56,松山弘平,1:56.4,3,23.7,7,466(+8),[西] 飯田雄三
9,7,11,メガゴールド,牡3,56,吉田隼人,1:56.5,3/4,29.1,9,518(-2),[西] 須貝尚介
10,8,12,プライムデイ,牡3,56,岩田康誠,1:56.5,アタマ,16.5,6,488(-8),[東] 加藤征弘
11,7,10,アメリカンピース,牡3,56,岩田望来,1:56.7,1,3.9,2,458(-2),[西] 音無秀孝
12,2,2,パラディズム,牡3,56,福永祐一,1:57.6,5,5.6,3,492(+8),[西] 野中賢二
13,4,5,スカイナイル,牝3,54,池添謙一,1:58.0,2.1/2,27.9,8,478(+2),[西] 牧浦充徳
