着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師
1,2,3,ロジサンデー,牡4,57,内田博幸,1:58.0,,3.8,1,476(+10),[東] 古賀慎明
2,3,6,ユキノユウダン,牡3,54,江田照男,1:58.0,クビ,22.8,8,432(+10),[東] 根本康広
3,6,12,チャペルプリンセス,牝4,55,嶋田純次,1:58.5,3,17.2,7,460(-2),[東] 斎藤誠
4,7,13,レッドマニッシュ,牝3,52,田中勝春,1:58.6,3/4,16.2,6,472(+4),[東] 国枝栄
5,3,5,モモトンボ,牝3,52,北村宏司,1:58.7,クビ,10.5,5,460(+8),[東] 栗田徹
6,1,1,クロスボウ,牡3,54,吉田豊,1:59.4,4,7.5,4,530(+20),[東] 大久保洋
7,7,15,シルクエルドール,セ4,57,石橋脩,1:59.5,3/4,33.7,10,500(+4),[東] 堀宣行
8,8,18,ハギノウィッシュ,牝4,55,蛯名正義,1:59.5,クビ,5.6,3,508(+6),[西] 鮫島一歩
9,6,11,カシマシャドウ,牡3,54,二本柳壮,2:00.0,3,232.1,16,422(-2),[東] 畠山重則
10,4,7,トウショウプライド,牡3,54,戸崎圭太,2:00.0,クビ,4.1,2,510(+10),[東] 武市康男
11,1,2,レアーレスパーダ,セ6,57,松山弘平,2:00.2,1.1/4,58.3,14,500(-2),[東] 上原博之
12,8,17,キタノイットウセイ,牡3,54,大野拓弥,2:00.3,クビ,158.6,15,498(-2),[東] 鈴木伸尋
13,8,16,ジョウテンオリーヴ,牝4,55,田辺裕信,2:00.6,2,40.1,12,500(0),[東] 相沢郁
14,7,14,ショウナンハヤブサ,牡4,57,柴田善臣,2:00.8,1.1/2,40.1,13,520(+10),[東] 上原博之
15,5,10,トモロマイスター,牡6,57,高倉稜,2:01.2,2.1/2,25.7,9,442(-4),[東] 伊藤正徳
16,5,9,フォーナインキング,牡3,54,福永祐一,2:01.5,1.3/4,39.0,11,464(-8),[東] 田村康仁
17,2,4,ノーザンハリアー,セ3,54,宮崎北斗,2:02.1,3.1/2,375.8,17,434(-2),[東] 黒岩陽一
18,4,8,メリオンジョー,牝3,52,嘉藤貴行,2:03.8,大,599.5,18,454(-2),[東] 畠山重則
